,SMILES
160,O=C(NC1(c2sccn2)CCCC1)[C@@H]1C[C@H](CC)NC(=O)C1
161,Fc1cc(C2(NC(=O)C=3C(=O)N(C)C(=O)N(C)C=3)CCC2)ccc1
162,O=C(NC1(c2ccc(C(C)(C)C)cc2)CCCC1)[C@H]1CC(=O)NCC1
163,O=C(NC1(c2scc(C)n2)CCCC1)C=1C=C(C2CC2)NC(=O)C=1
164,Fc1c([C@@H](O)CNC(=O)Cc2ccc(O)cc2)c(F)ccc1
165,Clc1ccc(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCC2)cc1
166,S(=O)(=O)(NCC(=O)Nc1c(O)cc2N(C)C(=O)N(C)c2c1)CC
167,O=C(CCn1cccc1)N1C[C@H]2N(C(=O)c3c2cccc3)CC1
168,FC(F)(F)c1ccc(C2(NC(=O)N[C@H]3CC(=O)OC3)CCC2)cc1
169,O=C(NC1(c2nc(C)on2)CCCC1)[C@@H]1C[C@@H](C)NC(=O)C1
170,O=C(NC1(c2nc(C)on2)CCCC1)[C@@H]1C[C@@H](CC)NC(=O)C1
171,O=C(NCC1(NC(=O)[C@@H]2C[C@@H](CC)NC(=O)C2)CCC1)CCC
172,O=C(NCc1ccc(OCCO)cc1)[C@@H]1C[C@H](CC)NC(=O)C1
173,O=C(N1CC=2C(=O)NC(C)=NC=2C1)C=1NC(=O)SC=1
174,Fc1cc(CC(=O)N[C@H](CO)CNC(=O)c2[nH]cc(C#N)c2)ccc1
175,O=C(N(Cc1[nH]ccc1)c1ccc(N(C)C)cc1)C[C@H]1CC(=O)OC1
176,O=C(N[C@H]1C(C)(C)[C@@H](O)C1)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
177,O=C(NCC1CC(O)C1)Nc1c(-n2ncc(C)c2)ccc(C(=O)N)c1
178,S(CC=1N=C2N=C(N)NN2C(=O)C=1)C=1N(C)C(=O)c2c(N=1)cccc2
179,FC(F)(F)c1c(F)cc(N)c(NC(=O)CNc2ccc(O)cc2)c1
180,O=C(CCn1cncc1)N1C[C@H]2N(C(=O)c3c2cccc3)CC1
181,O=C(Nc1c(O)cc2N(C)C(=O)N(C)c2c1)c1ncc(N)cc1
182,O=C1N2NC(N)=NC2=NC(CN2c3c(C4(C2)CCC4)cccc3)=C1
183,O=C(Nc1c(N(C)C)cccc1)[C@H]1CC(=O)NCC1
184,O=C(NC[C@](O)(CC)C)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
185,FC(F)(F)CNCC(=O)Nc1c(N2CCCCC2)ccc(C(=O)N)c1
186,Fc1cc(C(=O)NC[C@H](NC(=O)c2[nH]c(C(=O)N)cc2)C2CC2)[nH]c1
187,O=C(NCC1=CNC(=O)C=C1)c1n(-c2ccccc2)nc(C2CC2)c1
188,Clc1cc2c([C@@H](NC(=O)[C@@H]3c4c(NC(=O)C3)cc(F)cc4)CC2)cc1
189,Fc1c(N2C(=O)C=CC(C(=O)N(Cc3[nH]ncn3)C)=N2)cccc1
190,O=C(NC1(c2scc(C)n2)CCCC1)[C@@H]1C[C@H](CC)NC(=O)C1
191,Fc1cc2NC(=O)C[C@H](C(=O)NC3(C(=O)N)CC3)c2cc1
192,FC(F)c1n[nH]c(C(=O)N[C@@H](CNC(=O)[C@H]2NC(=O)NC2)CC)c1
193,FC(F)(F)c1cc([C@H](O)C(=O)N[C@@H]2[C@@H](O)Cc3c2cccc3)ccc1
194,FC(F)(F)c1cc([C@H](O)C(=O)N2C[C@@H](O)C[C@@H](C(=O)OC)C2)ccc1
195,FC(F)(F)[C@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)[C@@H]1COCC1
196,O=C(Nc1n(-c2ccccc2)nc(C2CC2)c1)C[C@@H]1C(=O)NC(=O)N1
197,FC(F)(F)c1cc(O)cc(Nc2c(O)cc(O)cc2)c1
198,F[C@H]1[C@H](NC(=O)[C@@H]2c3c(NC(=O)C2)cccc3)CCCC1
199,O=C(N[C@@]1(C)[C@H](C)OCC1)C[C@H]1NC(=O)c2c1cccc2
200,O=C(N[C@@H]([C@@H](O)CC)CC)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
201,FC(F)(F)[C@@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)[C@@H]1COCC1
202,Brc1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CC(O)C2)cc1
203,O=C(N[C@H]1CC(=O)OC1)NC1(c2ccc(C#N)cc2)CCC1
204,FC(F)(F)c1cc(F)cc(C2(C(=O)NCC=3NC=CC(=O)C=3)CC2)c1
205,FC1(F)[C@@H](COC(=O)C2=NN(c3ccccc3)C(=O)C=C2)CCCC1
206,Fc1cc(C2(NC(=O)N[C@H]3CC(=O)OC3)CCC2)ccc1
207,O=C(NC1(c2ccccc2)CCC1)[C@@H]1C[C@H](CC)NC(=O)C1
208,S(CC=1N=C2N=C(N)NN2C(=O)C=1)c1n(-c2cc(C)ccc2)ccn1
209,Clc1cc(C(=O)N[C@H](C(C)C)CNC(=O)[C@H]2NC(=O)NC2)[nH]c1
210,Fc1cc(c(NC(=O)[C@H]2CC(=O)NCC2)cc1)-c1cn(C)nc1
211,O=C(NC1(c2ccc(C(C)(C)C)cc2)CCCC1)[C@H]1CC(=O)CC1
212,O=C(NC[C@H](NC(=O)C=1N(C)C(=O)NC=1)C)c1[nH]cc(C#N)c1
213,O=C(NC1(c2ccc(OC)cc2)CC1)[C@@H]1C[C@@H](CC)NC(=O)C1
214,Clc1ccc(C2(NC(=O)[C@H]3CC(=O)NCC3)CCC2)cc1
215,FC(F)(F)c1cc([C@](O)(C(=O)NCc2[nH]nc(CC)c2)C)ccc1
216,Brc1cc(C2(NC(=O)[C@@H]3C[C@H](C)NC(=O)C3)CCC2)ccc1
217,Brc1ccc(C2(NC(=O)[C@@H]3C[C@H](CC)NC(=O)C3)CCC2)cc1
218,S(C)C1=NC(NC(=O)c2cc(NC(=O)C(C)C)ccc2)=CC(=O)N1
219,Fc1cc(c(NC(=O)[C@@H]2C[C@@H](C)NC(=O)C2)cc1)-c1cn(C)nc1
220,O=C1N2NC(N)=NC2=NC(CN2c3c([C@H](C)CCC2)cccc3)=C1
221,O=C(CCN1C(=O)OCC1)N1C[C@H]2N(C(=O)c3c2cccc3)CC1
222,Fc1cc(C2(NC(=O)NCC=3C(=O)NC=CC=3)CCC2)ccc1
223,FC(F)(F)CCNCC1(NC(=O)[C@H]2CC(=O)NCC2)CCCC1
224,FC(F)(F)[C@@H](NCC=1N=C2N=C(N)NN2C(=O)C=1)c1sccn1
225,O=C(Nc1c(O)cc2N(C)C(=O)N(C)c2c1)/C=C/C1CCOCC1
226,Clc1cc([C@](O)(C(=O)NCC=2NC=CC(=O)C=2)CC)ccc1
227,Clc1cc(C2(NC(=O)N[C@H]3CC(=O)OC3)CCC2)ccc1
228,Fc1cc(c(NC(=O)C[C@H]2CC(=O)OC2)cc1)-c1cn(C)nc1
229,O=C(NCC=1NC=CC(=O)C=1)[C@H](O)[C@@H](O)c1[nH]c2c(n1)cccc2
230,O=C(NC1(CCO)CCCC1)[C@@H]1C[C@H](CC)NC(=O)C1
231,O=C(N(Cc1[nH]ccc1)C)C1=NN(c2ccccc2)C(=O)C=C1
232,O=C(NC1(c2cc(C)ccc2)CCCC1)C=1C=C(C)NC(=O)C=1
233,O=C(NC[C@H](NC(=O)C=1NC(=O)N(C)C=1)C1CC1)[C@H]1NC(=O)NC1
234,O=C(NC[C@@H](NC(=O)C=1NC(=O)SC=1)C1CC1)[C@@H]1NC(=O)NC1
235,Clc1cc(C2(NC(=O)NCC=3C(=O)NC=CC=3)CCC2)ccc1
236,S(=O)(=O)(N(C)C)NCC(=O)Nc1c(O)cc2N(C)C(=O)N(C)c2c1
237,O=C(NCC1(NC(=O)[C@@H]2C[C@@H](CC)NC(=O)C2)CCC1)CC(C)C
238,O=C(Nc1cc2N(C)C(=O)N(C)c2cc1)C(=O)NC1([C@H](O)C)CC1
239,O=C(N1CCCC1)c1cc(Nc2c(O)cc(O)cc2)ccc1
240,O=C(C[C@@H]1NC(=O)CC1)N1C[C@@H](NC(=O)C2CC=CC2)CCCC1
241,Fc1cc(O)c(NC(=O)[C@@H]2C[C@H](CC)NC(=O)C2)cc1
242,F[C@H]1[C@H](NC(=O)[C@@H]2c3c(NC(=O)C2)cc(F)cc3)CCCC1
243,O=C(Nc1c(O)cc(O)cc1)CN(C(=O)C)c1ccccc1
244,Brc1cc([C@H](O)C(=O)NCC=2NC=CC(=O)C=2)ccc1
245,Fc1cc2c(N(CC=3N=C4N=C(N)NN4C(=O)C=3)CC2)cc1
246,Brc1cc(C2(NC(=O)NCC=3C(=O)NC=CC=3)CCC2)ccc1
247,Clc1cc(O)c(Nc2c3N(C)C(=O)NCc3ccc2)cc1
248,Fc1c(F)cc(CC(=O)NCC=2NC(=O)NC(=O)C=2)c(F)c1
249,O=C(N[C@H]1CC(=O)OC1)NC1(c2ccccc2)CCC1
250,FC(F)(F)c1cc(NC(=O)C=2C(OC)=CC(=O)NC=2)c(C)cc1
251,FC(F)c1c(F)c(C(=O)N[C@@H]2C3=C(NC(=O)C=C3)CCC2)ccc1
252,BrC=1C(=O)NC=CC=1C(=O)NC1(c2cc(Cl)ccc2)CCCC1
253,FCC1(NC(=O)[C@@H]2c3c(NC(=O)C2)cc(F)cc3)CCC1
254,Fc1c([C@@H](O)CNC(=O)[C@@H](NC(=O)c2cocc2)C)c(F)ccc1
255,O=C(NC[C@H](NC(=O)C=1NC(=O)C=CC=1)C)[C@@H]1NS(=O)(=O)CC1
256,Fc1cc(N2C(=O)C=CC(C(=O)N(Cc3[nH]ncn3)C)=C2)ccc1
257,O=C(CCc1[nH]ccc1)N1C2(CN(C(=O)[C@H]3C[C@@H](O)CC3)C2)CC1
258,F[C@H]1[C@@H](NC(=O)[C@@H]2[C@H]3[C@@H](NC(=O)C2)CCCC3)CCCC1
259,O=C(NC[C@H](O)CC)C(=O)Nc1cc2N(C)C(=O)N(C)c2cc1
260,Fc1cc2NC(=O)C[C@H](C(=O)N[C@H]3[C@H](C4CC4)OCC3)c2cc1
261,Fc1cc(O)c(Nc2c3c(ccc2)CNC(=O)C3)cc1
262,O=C(NCc1[nH]nc(CO)n1)c1c2c(cc(O)cc2)ccc1
263,O=C(NC[C@H](NC(=O)C=1NC(=O)C=CC=1)CO)Cc1[nH]ncc1
264,O=C(Nc1c(O)cc(O)cc1)[C@H]1CC(=O)NCC1
265,O=C(NC1(c2scc(C)n2)CCC1)[C@@H]1C[C@H](C)NC(=O)C1
266,FC(F)(F)c1cc([C@H](O)C(=O)N2CCC(=O)NCC2)ccc1
