Model no.,lossf,kernel_size,stages,filters,stride,fc_layers,activation,optimizer,reg,batch_size,epochs,val_loss,val_acc(%),val_auc,val_f1s,val_mcc,val_sens,val_spec,test_loss,test_acc(%),test_auc,test_f1s,test_mcc,test_sens,test_spec
65,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,9,"[3, 3, 3, 3]","[9, 9, 18, 36, 72]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,30,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,47,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[9, 18]",1,970,sigmoid,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,60,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,<tensorflow.python.keras.losses.MeanSquaredError object at 0x7f334c168510>,15,[3],"[18, 18]",1,970,relu,<tensorflow.python.keras.optimizer_v2.adam.Adam object at 0x7f334bf43f90>,0.0001,10,250,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
